Trial,uid,Row,Range,gid,Yield
HARS20_chips,127,1,10,W17060-30,418.2486
HARS20_chips,128,2,10,W17039-21,535.8606
HARS20_chips,129,3,10,W17037-7,451.935
HARS20_chips,130,4,10,W17042-5,564.22905
HARS20_chips,131,5,10,W17060-22,460.1267
HARS20_chips,132,6,10,W17062-21,518.4971
HARS20_chips,133,7,10,W17039-29,544.9477
HARS20_chips,134,8,10,W17057-3,384.65295
HARS20_chips,135,9,10,W17037-77,544.0886
HARS20_chips,136,10,10,W17039-10,474.93105
HARS20_chips,137,11,10,W17066-26,453.33255
HARS20_chips,138,12,10,W17047-10,418.9746
HARS20_chips,139,13,10,W17037-19,513.0763
HARS20_chips,140,14,10,W17052-18,435.8662
HARS20_chips,141,1,11,W17065-20,466.43685
HARS20_chips,142,2,11,W17037-75,301.2174
HARS20_chips,143,3,11,W17AF6686-6,498.5805
HARS20_chips,144,4,11,W17067-26,500.335
HARS20_chips,145,5,11,W17047-6,502.2831
HARS20_chips,146,6,11,W17062-26,455.2504
HARS20_chips,147,7,11,W17062-17,345.92085
HARS20_chips,148,8,11,W17065-11,531.4683
HARS20_chips,149,9,11,W17066-9,468.69955
HARS20_chips,150,10,11,W17057-28,321.5333
HARS20_chips,151,11,11,W17044-14,635.59485
HARS20_chips,152,12,11,W17039-14,399.70535
HARS20_chips,153,13,11,W17039-31,609.15635
HARS20_chips,154,14,11,W17064-8,423.0765
HARS20_chips,155,1,12,W17039-6,439.80475
HARS20_chips,156,2,12,W17039-9,548.0332
HARS20_chips,157,3,12,W17046-3,391.40475
HARS20_chips,158,4,12,W17066-30,587.7938
HARS20_chips,159,5,12,W17037-65,566.4373
HARS20_chips,160,6,12,W17056-5,392.89305
HARS20_chips,161,7,12,W17041-3,378.45775
HARS20_chips,162,8,12,W17053-18,429.5379
HARS20_chips,163,9,12,W17046-2,359.90845
HARS20_chips,164,10,12,W17044-5,407.2013
HARS20_chips,165,11,12,W17044-13,493.7526
HARS20_chips,166,12,12,W17064-10,557.6648
HARS20_chips,167,13,12,W17039-12,606.9844
HARS20_chips,168,14,12,W17058-5,330.57805
HARS20_chips,169,1,13,W17037-57,312.63375
HARS20_chips,170,2,13,W17037-28,437.1004
HARS20_chips,171,3,13,W17039-23,544.258
HARS20_chips,172,4,13,W17064-22,515.4237
HARS20_chips,173,5,13,W17063-8,560.93785
HARS20_chips,174,6,13,W17047-16,503.8561
HARS20_chips,175,7,13,W17053-14,370.85895
HARS20_chips,176,8,13,W17039-26,556.84805
HARS20_chips,177,9,13,W17043-21,569.38365
HARS20_chips,178,10,13,W17042-3,434.80745
HARS20_chips,179,11,13,W17039-28,596.9656
HARS20_chips,180,12,13,W17037-87,451.91685
HARS20_chips,181,13,13,W17062-10,432.1999
HARS20_chips,182,14,13,W17064-20,524.4866
HARS20_chips,183,1,14,W17037-2,478.6397
HARS20_chips,184,2,14,W17039-24,628.54055
HARS20_chips,185,3,14,W17057-8,590.0565
HARS20_chips,186,4,14,Atlantic,462.35915
HARS20_chips,187,5,14,Hodag,590.0202
HARS20_chips,188,6,14,Lamoka,443.5013
HARS20_chips,189,7,14,Snowden,427.9044
HARS20_chips,190,8,14,W16091-5,463.19405
HARS20_chips,191,9,14,W16105-1,434.68645
HARS20_chips,192,10,14,W16130-15,493.68
HARS20_chips,193,11,14,W16130-70,412.15625
HARS20_chips,194,12,14,W16133-35,559.504
HARS20_chips,195,13,14,W16219-8,455.1899
HARS20_chips,196,14,14,W16NYS2-4,NA
